x	y	n_langs	n_lineages	pearson	spearman	lineage_r	quad_min	quad_expected	quad_reading	p_quad	grid_empty	p_grid	coupled	claim	claim_violators	claim_viol_rate	claim_support	boot_kind	boot_survival	surprise
dir:comp	dir:mod	121	37	0.574	0.617	0.555	18	29.8		0.001	0.08	0.0	False	dir:comp >= dir:mod	Abkhaz,Akkadian,Akuntsu,Beja,Bokota,Chintang,Chukchi,Guajajara	0.223	0.545	grid	0.924	0.0754
adist:subj	dir:comp	122	38	-0.438	-0.502	-0.6	21	30.5		0.001	0.08	0.0	False					grid	0.922	0.0753
dir:comp:obl	freq:udep	58	21	-0.143	-0.174	0.013	13	14.5		0.596	0.08	0.041	False					grid	0.972	0.0751
adist:det	dir:cc	73	29	-0.068	-0.089	-0.068	17	17.5		1.0	0.08	0.01	False					grid	0.926	0.0748
dir:mod	dist:det	89	34	0.443	0.499	0.352	15	21.8		0.004	0.08	0.001	False					grid	0.914	0.0748
dist:comp:pred	pos:DET	62	25	0.343	0.311	0.435	12	15.5		0.134	0.08	0.024	False					grid	0.942	0.0747
dir:udep	pos:SCONJ	104	34	0.375	0.459	0.461	20	26.0		0.031	0.08	0.0	False					grid	0.91	0.0746
dir:cc	pos:NUM	80	29	0.041	0.248	0.106	16	19.5		0.172	0.08	0.004	False					grid	0.914	0.0745
dir:udep	pos:NOUN	114	35	-0.428	-0.425	-0.452	20	28.5		0.003	0.08	0.0	False					grid	0.908	0.0745
dir:comp	dist:subj	122	38	0.548	0.577	0.657	16	30.5		0.0	0.08	0.0	False					grid	0.888	0.0733
dir:udep	freq:det	114	35	0.412	0.344	0.584	22	28.5		0.012	0.08	0.0	False					grid	0.886	0.0732
dir:cc	pos:SCONJ	76	29	-0.043	-0.07	-0.107	18	19.0		0.814	0.08	0.005	False					grid	0.89	0.073
adist:subj	dist:mod	120	37	-0.451	-0.444	-0.704	25	30.0		0.103	0.08	0.0	False					grid	0.858	0.0715
dir:mod	dir:subj	120	37	0.37	0.437	0.325	22	30.0		0.009	0.08	0.0	False	dir:mod >= dir:subj	Abkhaz,Amharic,Cebuano,Irish,Kiche,Komi_Zyrian,Lithuanian,Moksha	0.083	0.642	grid	0.824	0.0694
adist:cc	dist:comp:pred	63	25	-0.367	-0.202	-0.356	13	15.2		0.45	0.08	0.026	False					grid	0.844	0.0688
dist:comp	pos:NOUN	130	38	-0.434	-0.399	-0.353	22	32.5		0.0	0.04	0.028	False					grid	1.0	0.0389
freq:comp	freq:mod	133	38	-0.716	-0.72	-0.715	12	32.8		0.0	0.04	0.028	False	freq:comp >= freq:mod	Abkhaz,Akkadian,Assamese,Buryat,Chinese,Chintang,Chukchi,Finnish	0.293	0.519	grid	1.0	0.0389
freq:comp	pos:NOUN	133	38	-0.528	-0.574	-0.321	17	32.8		0.0	0.04	0.028	False					grid	1.0	0.0389
dir:comp	pos:NOUN	130	38	-0.372	-0.329	-0.275	23	32.5		0.002	0.04	0.028	False					grid	0.998	0.0388
freq:mod	pos:ADV	132	37	0.355	0.323	0.447	23	33.0		0.001	0.04	0.031	False					grid	1.0	0.0388
freq:subj	pos:VERB	132	38	0.399	0.408	0.388	20	33.0		0.0	0.04	0.031	False					grid	1.0	0.0388
freq:udep	pos:NOUN	131	37	0.466	0.467	0.249	20	32.2		0.0	0.04	0.03	False					grid	1.0	0.0388
freq:udep	pos:VERB	131	37	-0.176	-0.33	-0.058	22	32.2		0.0	0.04	0.03	False					grid	1.0	0.0388
freq:comp	pos:ADP	129	36	0.501	0.539	0.387	15	31.8		0.0	0.04	0.033	False					grid	1.0	0.0387
freq:mod	pos:ADP	129	36	-0.399	-0.397	-0.306	19	31.8		0.0	0.04	0.033	False					grid	1.0	0.0387
pos:ADP	pos:VERB	129	36	-0.507	-0.602	-0.452	18	31.8		0.0	0.04	0.033	False	pos:VERB >= pos:ADP	Bhojpuri,Esperanto,Faroese,French,Irish,Ligurian,Northern_Kurdish,Pashto	0.085	0.783	grid	1.0	0.0387
adist:comp	freq:subj	129	38	-0.376	-0.361	-0.204	21	31.8		0.0	0.04	0.033	False					grid	0.998	0.0386
adist:comp	pos:ADJ	125	37	0.284	0.346	0.366	22	30.8		0.002	0.04	0.035	False					grid	1.0	0.0386
dir:comp	pos:ADP	127	36	0.371	0.405	0.408	25	31.2		0.045	0.04	0.035	False					grid	1.0	0.0386
dir:comp:obj	freq:mod	125	38	-0.377	-0.402	-0.416	22	30.8		0.004	0.04	0.035	False					grid	1.0	0.0386
dir:comp:obj	pos:VERB	125	38	-0.378	-0.441	-0.367	19	30.8		0.0	0.04	0.035	False					grid	1.0	0.0386
dist:comp	pos:ADJ	125	37	0.032	0.083	0.072	28	30.8		0.444	0.04	0.035	False					grid	1.0	0.0386
dist:comp:obj	pos:NOUN	125	38	-0.45	-0.437	-0.384	22	30.8		0.003	0.04	0.035	False					grid	1.0	0.0386
dist:comp:obj	pos:VERB	125	38	-0.388	-0.491	-0.341	19	30.8		0.0	0.04	0.035	False					grid	1.0	0.0386
freq:comp	pos:ADV	132	37	-0.349	-0.288	-0.432	26	33.0		0.017	0.04	0.031	False					grid	0.994	0.0386
dir:comp	freq:det	128	37	0.362	0.383	0.529	24	32.0		0.006	0.04	0.038	False					grid	1.0	0.0385
freq:subj	pos:ADP	128	36	-0.408	-0.488	-0.546	20	32.0		0.0	0.04	0.038	False					grid	1.0	0.0385
freq:udep	pos:ADP	128	36	0.304	0.298	0.245	25	32.0		0.026	0.04	0.038	False					grid	1.0	0.0385
dist:comp:obj	freq:subj	124	38	-0.213	-0.264	-0.004	24	31.0		0.019	0.04	0.04	False					grid	1.0	0.0384
dist:comp:obj	pos:ADV	124	37	0.152	0.151	0.09	27	31.0		0.201	0.04	0.04	False					grid	0.998	0.0383
adist:comp	pos:CCONJ	120	34	0.274	0.303	0.295	20	30.0		0.0	0.04	0.045	False					grid	1.0	0.0382
adist:mod	adist:subj	120	37	0.221	0.338	0.469	22	30.0		0.005	0.04	0.045	False					grid	1.0	0.0382
adist:mod	dist:subj	120	37	-0.196	-0.243	-0.459	27	30.0		0.364	0.04	0.045	False					grid	1.0	0.0382
adist:subj	dir:mod	120	37	-0.278	-0.352	-0.588	24	30.0		0.05	0.04	0.045	False					grid	1.0	0.0382
dir:comp	pos:CCONJ	120	34	0.429	0.431	0.4	18	30.0		0.0	0.04	0.045	False					grid	1.0	0.0382
dir:mod	pos:NUM	120	36	-0.28	-0.316	-0.315	24	30.0		0.044	0.04	0.045	False					grid	1.0	0.0382
dir:subj	dist:mod	120	37	0.451	0.513	0.367	16	30.0		0.0	0.04	0.045	False					grid	1.0	0.0382
dist:comp	pos:CCONJ	120	34	0.393	0.393	0.358	18	30.0		0.0	0.04	0.045	False					grid	1.0	0.0382
dist:comp:obj	pos:ADJ	120	37	0.059	0.095	0.13	28	30.0		0.588	0.04	0.045	False					grid	1.0	0.0382
dist:mod	dist:subj	120	37	0.553	0.564	0.683	18	30.0		0.0	0.04	0.045	False					grid	1.0	0.0382
adist:mod	dir:subj	120	37	-0.106	-0.125	-0.355	25	30.0		0.099	0.04	0.045	False					grid	0.998	0.0381
adist:mod	pos:NUM	120	36	-0.093	-0.054	0.11	29	30.0		0.847	0.04	0.045	False					grid	0.998	0.0381
adist:subj	dir:comp:obl	57	20	-0.483	-0.624	-0.475	7	13.8		0.001	0.08	0.052	False					none	0.0	0.019
adist:subj	dist:comp:obl	57	20	-0.712	-0.655	-0.874	7	13.8		0.002	0.08	0.052	False					none	0.0	0.019
dir:comp:obl	dir:udep	57	21	0.585	0.619	0.598	6	13.8		0.0	0.08	0.052	False	dir:comp:obl >= dir:udep	Albanian,Beja,Gheg,Greek,Guajajara,Italian,Korean,Ligurian	0.263	0.298	claim	0.0	0.019
dir:comp:obl	dist:subj	57	20	0.49	0.514	0.566	8	13.8		0.011	0.08	0.052	False					none	0.0	0.019
dir:comp:obl	freq:subj	57	20	-0.175	-0.103	-0.221	12	13.8		0.587	0.08	0.052	False					none	0.0	0.019
dir:comp:obl	pos:CCONJ	57	20	0.227	0.224	0.192	11	13.8		0.288	0.08	0.052	False					none	0.0	0.019
dir:subj	dist:comp:obl	57	20	0.206	0.236	0.42	10	13.8		0.104	0.08	0.052	False					none	0.0	0.019
dist:comp:aux	dist:comp:pred	57	20	0.697	0.605	0.65	5	13.8		0.0	0.08	0.052	False					none	0.0	0.019
dist:comp:obl	dist:subj	57	20	0.697	0.557	0.899	9	13.8		0.032	0.08	0.052	False					none	0.0	0.019
dist:comp:obl	freq:subj	57	20	-0.036	-0.054	0.067	12	13.8		0.611	0.08	0.052	False					none	0.0	0.019
dist:comp:pred	pos:INTJ	57	23	0.133	-0.065	0.001	11	13.8		0.27	0.08	0.052	False					none	0.0	0.019
dist:comp:obl	pos:AUX	56	20	0.226	0.324	0.292	11	14.0		0.184	0.08	0.055	False					none	0.0	0.0189
dist:discourse	dist:subj	54	21	0.164	0.116	-0.068	12	13.5		0.581	0.08	0.064	False					none	0.0	0.0187
adist:discourse	dir:comp	55	21	0.293	0.264	0.316	9	13.2		0.054	0.08	0.068	False					none	0.0	0.0186
adist:discourse	dir:comp:obj	55	21	0.326	0.304	0.358	8	13.2		0.015	0.08	0.068	False					none	0.0	0.0186
dir:comp	dir:discourse	55	21	-0.281	-0.274	-0.386	9	13.2		0.06	0.08	0.068	False	dir:discourse >= dir:comp	Bambara,Cappadocian,Central_Kurdish,Chukchi,English,Frisian_Dutch,Gheg,Greek	0.364	0.564	claim	0.0	0.0186
dir:comp:obj	dir:discourse	55	21	-0.28	-0.296	-0.42	9	13.2		0.045	0.08	0.068	False	dir:discourse >= dir:comp:obj	Cappadocian,Central_Kurdish,Chukchi,English,Frisian_Dutch,Gheg,Greek,Hausa	0.345	0.545	claim	0.0	0.0186
dist:comp:obl	pos:SCONJ	55	20	0.332	0.349	0.396	10	13.2		0.172	0.08	0.068	False					none	0.0	0.0186
dist:discourse	pos:NUM	55	21	-0.125	-0.16	0.001	11	13.2		0.406	0.08	0.068	False					none	0.0	0.0186
adist:discourse	freq:cc	51	20	0.124	0.154	0.321	10	12.2		0.379	0.08	0.088	False					none	0.0	0.0182
dir:cc	dir:comp:obl	51	20	-0.522	-0.533	-0.509	6	12.2		0.001	0.08	0.088	False	dir:comp:obl >= dir:cc	Amharic,Beja,Buryat,Chintang,Korean,Odia,Phrygian,Tamil	0.157	0.686	claim	0.0	0.0182
dir:cc	dist:comp:obl	51	20	-0.403	-0.476	-0.266	8	12.2		0.059	0.08	0.088	False					none	0.0	0.0182
dir:comp:obl	dist:cc	51	20	0.044	0.116	0.113	9	12.2		0.158	0.08	0.088	False					none	0.0	0.0182
dist:discourse	pos:ADJ	51	21	0.079	0.094	0.198	9	12.2		0.167	0.08	0.088	False					none	0.0	0.0182
dist:discourse	dist:udep	52	21	0.07	0.013	-0.03	12	13.0		0.774	0.08	0.096	False					none	0.0	0.0181
dist:discourse	pos:PART	50	20	0.204	0.284	-0.163	8	12.5		0.022	0.08	0.109	False					none	0.0	0.0178
adist:det	adist:discourse	43	20	-0.055	0.056	-0.123	9	10.2		0.777	0.08	0.213	False					none	0.0	0.0157
adist:det	dist:discourse	43	20	0.13	0.087	0.12	8	10.2		0.356	0.08	0.213	False					none	0.0	0.0157
adist:discourse	dir:comp:aux	39	18	0.221	0.229	0.325	6	9.2		0.105	0.08	0.311	False					none	0.0	0.0138
adist:discourse	dist:comp:aux	39	18	0.159	0.119	0.272	6	9.2		0.121	0.08	0.311	False					none	0.0	0.0138
dir:comp:aux	dir:discourse	39	18	-0.404	-0.386	-0.504	5	9.2		0.021	0.08	0.311	False	dir:discourse >= dir:comp:aux	Bambara,Cappadocian,Chukchi,English,Frisian_Dutch,Gheg,Greek,Hausa	0.436	0.538	claim	0.0	0.0138
dir:comp:aux	dist:discourse	39	18	0.02	-0.103	0.015	6	9.2		0.102	0.08	0.311	False					none	0.0	0.0138
adist:discourse	dist:cc	38	18	-0.118	-0.275	-0.341	7	9.5		0.183	0.08	0.358	False					none	0.0	0.0128
adist:discourse	dir:comp:pred	34	16	0.207	0.179	0.372	5	8.5		0.046	0.08	0.484	False					none	0.0	0.0103
dir:comp:pred	dir:discourse	34	16	-0.175	-0.185	-0.223	6	8.5		0.189	0.08	0.484	False	dir:comp:pred >= dir:discourse	Amharic,Beja,Buryat,Chintang,Gujarati,Ika,Kazakh,Marathi	0.412	0.441	claim	0.0	0.0103
dir:discourse	dist:comp:pred	34	16	-0.005	-0.083	-0.038	7	8.5		0.469	0.08	0.484	False					none	0.0	0.0103
pos:DET	pos:SCONJ	110	36	0.295	0.349	0.502	19	27.5		0.001	0.04	0.1	False	pos:DET >= pos:SCONJ	Akkadian,Classical_Chinese,Hausa,Komi_Zyrian,Mbya_Guarani,Pesh,Ruuli,Shanghainese	0.1	0.591	claim	0.04	0.0101
adist:comp	adist:mod	121	37	0.396	0.463	0.522	19	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
adist:mod	dist:comp:obj	121	37	0.176	0.184	-0.086	28	29.8		0.711	0.04	0.053	False					none	0.0	0.0095
adist:mod	pos:ADP	121	35	0.393	0.385	0.52	22	29.8		0.014	0.04	0.053	False					none	0.0	0.0095
dir:comp	dist:mod	121	37	0.621	0.629	0.651	16	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
dir:comp	pos:DET	121	37	0.406	0.436	0.569	20	29.8		0.002	0.04	0.053	False					none	0.0	0.0095
dir:comp:obj	dist:mod	121	37	0.608	0.608	0.65	16	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
dir:mod	dist:comp	121	37	0.48	0.502	0.534	21	29.8		0.002	0.04	0.053	False					none	0.0	0.0095
dir:mod	dist:comp:obj	121	37	0.475	0.495	0.536	20	29.8		0.002	0.04	0.053	False					none	0.0	0.0095
dir:mod	freq:udep	121	36	-0.13	-0.167	-0.102	24	29.8		0.07	0.04	0.053	False					none	0.0	0.0095
dist:comp	dist:mod	121	37	0.557	0.542	0.67	17	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
dist:comp	freq:cc	121	34	0.343	0.328	0.32	19	29.8		0.001	0.04	0.053	False					none	0.0	0.0095
dist:comp	pos:DET	121	37	0.443	0.456	0.561	19	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
dist:comp:obj	dist:mod	121	37	0.544	0.516	0.663	16	29.8		0.0	0.04	0.053	False					none	0.0	0.0095
dist:mod	freq:udep	121	36	-0.058	-0.091	-0.001	27	29.8		0.476	0.04	0.053	False					none	0.0	0.0095
freq:subj	pos:NUM	121	36	-0.093	-0.071	0.046	27	29.8		0.471	0.04	0.053	False					none	0.0	0.0095
pos:ADV	pos:CCONJ	121	34	0.0	0.032	-0.07	28	29.8		0.706	0.04	0.053	False	pos:ADV >= pos:CCONJ	Akkadian,Beja,Bhojpuri,Hebrew,Irish,Middle_Armenian,Northern_Kurdish,Northwest_Gbaya	0.083	0.678	claim	0.0	0.0095
adist:subj	dir:comp:obj	122	38	-0.377	-0.438	-0.536	23	30.5		0.009	0.04	0.056	False					none	0.0	0.0094
adist:subj	dist:comp	122	38	-0.491	-0.47	-0.623	22	30.5		0.008	0.04	0.056	False					none	0.0	0.0094
adist:subj	dist:comp:obj	122	38	-0.397	-0.374	-0.557	23	30.5		0.008	0.04	0.056	False					none	0.0	0.0094
dir:comp	pos:SCONJ	117	36	0.358	0.498	0.526	18	28.8		0.001	0.04	0.065	False					none	0.0	0.0094
dir:comp:obj	dist:subj	122	38	0.505	0.534	0.622	18	30.5		0.0	0.04	0.056	False					none	0.0	0.0094
dir:comp:obj	pos:ADP	122	36	0.433	0.475	0.452	20	30.5		0.001	0.04	0.056	False					none	0.0	0.0094
dir:mod	freq:det	122	37	0.303	0.214	0.399	26	30.5		0.125	0.04	0.056	False					none	0.0	0.0094
dir:subj	dist:comp	122	38	0.439	0.499	0.456	17	30.5		0.0	0.04	0.056	False					none	0.0	0.0094
dir:subj	dist:comp:obj	122	38	0.429	0.5	0.48	18	30.5		0.0	0.04	0.056	False					none	0.0	0.0094
dist:comp:obj	dist:subj	122	38	0.521	0.51	0.648	18	30.5		0.0	0.04	0.056	False					none	0.0	0.0094
dist:comp:obj	pos:ADP	122	36	0.43	0.466	0.418	21	30.5		0.002	0.04	0.056	False					none	0.0	0.0094
dist:mod	freq:subj	122	37	-0.012	-0.096	0.182	25	30.5		0.066	0.04	0.056	False					none	0.0	0.0094
dist:subj	pos:PRON	122	38	0.199	0.204	0.186	27	30.5		0.267	0.04	0.056	False					none	0.0	0.0094
freq:comp	pos:SCONJ	117	36	0.273	0.32	0.308	21	28.8		0.009	0.04	0.065	False					none	0.0	0.0094
freq:mod	pos:NUM	122	36	0.158	0.344	0.308	24	30.5		0.037	0.04	0.056	False					none	0.0	0.0094
adist:subj	pos:ADJ	118	37	0.271	0.27	0.338	22	29.5		0.008	0.04	0.072	False					none	0.0	0.0093
dir:comp:obj	freq:det	123	37	0.429	0.434	0.559	22	30.2		0.008	0.04	0.066	False					none	0.0	0.0093
dir:comp:obj	pos:CCONJ	115	34	0.446	0.453	0.418	17	28.2		0.0	0.04	0.075	False					none	0.0	0.0093
dir:mod	pos:NOUN	123	37	-0.329	-0.366	-0.432	20	30.2		0.001	0.04	0.066	False					none	0.0	0.0093
dist:comp:obj	freq:det	123	37	0.417	0.431	0.551	22	30.2		0.004	0.04	0.066	False					none	0.0	0.0093
dist:comp:obj	pos:CCONJ	115	34	0.437	0.452	0.401	17	28.2		0.0	0.04	0.075	False					none	0.0	0.0093
freq:comp	pos:AUX	123	36	0.606	0.564	0.673	17	30.2		0.0	0.04	0.066	False					none	0.0	0.0093
freq:mod	pos:AUX	123	36	-0.432	-0.463	-0.514	18	30.2		0.0	0.04	0.066	False					none	0.0	0.0093
freq:mod	pos:DET	123	37	-0.456	-0.457	-0.535	18	30.2		0.0	0.04	0.066	False					none	0.0	0.0093
pos:ADJ	pos:CCONJ	115	33	0.049	0.126	0.104	28	28.2		1.0	0.04	0.075	False	pos:ADJ >= pos:CCONJ	Beja,Cappadocian,Chintang,Gheg,Greek,Hausa,Hebrew,Hittite	0.183	0.557	claim	0.0	0.0093
adist:comp	adist:udep	113	35	0.585	0.611	0.238	13	27.8		0.0	0.04	0.083	False					none	0.0	0.0092
adist:mod	adist:udep	114	35	0.313	0.395	0.288	19	28.5		0.001	0.04	0.08	False					none	0.0	0.0092
adist:mod	dir:udep	114	35	0.113	0.105	0.081	26	28.5		0.455	0.04	0.08	False					none	0.0	0.0092
adist:mod	dist:udep	114	35	-0.045	-0.053	-0.091	28	28.5		1.0	0.04	0.08	False					none	0.0	0.0092
adist:subj	adist:udep	112	35	0.678	0.63	0.742	13	28.0		0.0	0.04	0.082	False					none	0.0	0.0092
adist:subj	dir:udep	112	35	-0.494	-0.53	-0.592	20	28.0		0.006	0.04	0.082	False					none	0.0	0.0092
adist:subj	pos:CCONJ	112	34	0.033	-0.001	-0.09	26	28.0		0.581	0.04	0.082	False					none	0.0	0.0092
adist:udep	dir:comp	113	35	-0.264	-0.21	-0.398	24	27.8		0.239	0.04	0.083	False					none	0.0	0.0092
adist:udep	dir:comp:obj	113	35	-0.215	-0.171	-0.354	26	27.8		0.725	0.04	0.083	False					none	0.0	0.0092
adist:udep	dir:mod	114	35	-0.257	-0.2	-0.331	24	28.5		0.127	0.04	0.08	False					none	0.0	0.0092
adist:udep	dist:comp	113	35	-0.229	-0.124	-0.385	26	27.8		0.7	0.04	0.083	False					none	0.0	0.0092
adist:udep	dist:subj	112	35	-0.539	-0.398	-0.573	19	28.0		0.002	0.04	0.082	False					none	0.0	0.0092
adist:udep	freq:mod	114	35	0.336	0.288	0.375	25	28.5		0.272	0.04	0.08	False					none	0.0	0.0092
dir:comp:obj	freq:cc	116	34	0.388	0.39	0.363	20	29.0		0.001	0.04	0.08	False					none	0.0	0.0092
dir:comp:obj	pos:AUX	116	36	0.09	0.181	-0.149	22	29.0		0.013	0.04	0.08	False					none	0.0	0.0092
dir:comp:obj	pos:DET	116	37	0.462	0.474	0.597	19	29.0		0.001	0.04	0.08	False					none	0.0	0.0092
dir:comp:obj	pos:SCONJ	112	36	0.373	0.506	0.522	18	28.0		0.001	0.04	0.082	False					none	0.0	0.0092
dir:mod	freq:cc	114	34	0.075	0.089	0.04	27	28.5		0.721	0.04	0.08	False					none	0.0	0.0092
dir:mod	pos:ADJ	116	36	-0.228	-0.278	-0.401	22	29.0		0.014	0.04	0.08	False					none	0.0	0.0092
dir:mod	pos:DET	116	37	0.286	0.224	0.412	25	29.0		0.201	0.04	0.08	False					none	0.0	0.0092
dir:subj	dist:udep	112	35	0.508	0.528	0.521	15	28.0		0.0	0.04	0.082	False					none	0.0	0.0092
dir:subj	pos:DET	114	37	0.284	0.261	0.574	24	28.5		0.162	0.04	0.08	False					none	0.0	0.0092
dir:udep	pos:ADP	113	34	0.413	0.427	0.481	18	27.8		0.002	0.04	0.083	False					none	0.0	0.0092
dist:comp	dist:udep	113	35	0.657	0.638	0.802	10	27.8		0.0	0.04	0.083	False					none	0.0	0.0092
dist:comp:obj	dist:udep	113	35	0.625	0.596	0.766	11	27.8		0.0	0.04	0.083	False					none	0.0	0.0092
dist:comp:obj	freq:cc	116	34	0.379	0.385	0.36	20	29.0		0.001	0.04	0.08	False					none	0.0	0.0092
dist:comp:obj	pos:DET	116	37	0.483	0.496	0.6	19	29.0		0.0	0.04	0.08	False					none	0.0	0.0092
dist:comp:obj	pos:SCONJ	112	36	0.373	0.505	0.494	17	28.0		0.0	0.04	0.082	False					none	0.0	0.0092
dist:udep	freq:det	114	35	0.26	0.151	0.431	24	28.5		0.159	0.04	0.08	False					none	0.0	0.0092
dist:udep	pos:NOUN	114	35	-0.428	-0.376	-0.518	21	28.5		0.007	0.04	0.08	False					none	0.0	0.0092
dist:udep	pos:PRON	114	35	0.254	0.306	0.252	24	28.5		0.136	0.04	0.08	False					none	0.0	0.0092
freq:cc	pos:ADJ	116	33	0.021	0.105	0.046	27	29.0		0.601	0.04	0.08	False					none	0.0	0.0092
freq:cc	pos:AUX	114	32	-0.025	0.106	-0.004	24	28.5		0.127	0.04	0.08	False					none	0.0	0.0092
freq:discourse	pos:NOUN	112	35	-0.071	-0.128	-0.205	25	28.0		0.359	0.04	0.082	False					none	0.0	0.0092
freq:discourse	pos:VERB	112	35	0.241	0.504	0.151	15	28.0		0.0	0.04	0.082	False					none	0.0	0.0092
pos:AUX	pos:SCONJ	112	35	-0.092	0.063	0.065	26	28.0		0.583	0.04	0.082	False	pos:AUX >= pos:SCONJ	Beja,Chintang,Hebrew,Hittite,Kadiweu,Mbya_Guarani,Northwest_Gbaya,Odia	0.098	0.616	claim	0.0	0.0092
pos:PROPN	pos:SCONJ	114	35	-0.301	-0.312	-0.382	24	28.5		0.155	0.04	0.08	False	pos:PROPN >= pos:SCONJ	Albanian,Beja,Breton,Cappadocian,Czech,Esperanto,Hebrew,Italian	0.228	0.544	claim	0.0	0.0092
adist:subj	pos:SCONJ	109	36	-0.153	-0.129	-0.286	26	26.8		1.0	0.04	0.094	False					none	0.0	0.0091
dir:udep	pos:CCONJ	109	34	0.34	0.352	0.297	19	26.8		0.008	0.04	0.094	False					none	0.0	0.0091
dist:subj	pos:SCONJ	109	36	0.217	0.24	0.381	23	26.8		0.252	0.04	0.094	False					none	0.0	0.0091
dist:udep	freq:cc	110	34	0.186	0.184	0.162	20	27.5		0.015	0.04	0.1	False					none	0.0	0.009
freq:discourse	freq:udep	111	35	-0.121	-0.395	-0.531	16	27.2		0.0	0.04	0.108	False	freq:udep >= freq:discourse	Buryat,Cantonese,Guajajara,Hausa,Ika,Kaapor,Nepali,Pesh	0.081	0.784	claim	0.0	0.0089
dist:mod	pos:PART	104	34	0.084	0.047	0.212	24	26.0		0.573	0.04	0.118	False					none	0.0	0.0088
freq:discourse	pos:DET	104	34	-0.246	-0.283	-0.325	23	26.0		0.323	0.04	0.118	False					none	0.0	0.0088
dist:comp:obj	freq:discourse	107	34	-0.206	-0.321	-0.35	17	26.2		0.001	0.04	0.133	False					none	0.0	0.0087
dist:udep	pos:DET	107	35	0.333	0.274	0.445	19	26.2		0.007	0.04	0.133	False					none	0.0	0.0087
freq:cc	freq:discourse	105	33	-0.236	-0.323	-0.209	21	25.8		0.115	0.04	0.126	False	freq:cc >= freq:discourse	Amharic,Bambara,Beja,Buryat,Cantonese,Central_Kurdish,Chinese,Chintang	0.257	0.552	claim	0.0	0.0087
pos:DET	pos:PART	105	34	-0.198	-0.103	-0.046	25	25.8		1.0	0.04	0.126	False	pos:DET >= pos:PART	Akkadian,Amharic,Bambara,Buryat,Cantonese,Cebuano,Chinese,Chintang	0.305	0.457	claim	0.0	0.0087
adist:udep	freq:discourse	103	34	-0.141	-0.271	-0.228	17	25.2		0.001	0.04	0.142	False					none	0.0	0.0086
freq:discourse	pos:SCONJ	101	34	-0.129	-0.178	-0.236	22	24.8		0.444	0.04	0.151	False					none	0.0	0.0085
freq:discourse	pos:PART	97	33	0.542	0.491	0.498	14	23.8		0.0	0.04	0.178	False					none	0.0	0.0082
freq:udep	pos:INTJ	94	32	-0.272	-0.325	-0.054	20	23.5		0.223	0.04	0.2	False					none	0.0	0.008
freq:vocative	pos:ADV	94	32	0.051	0.094	0.029	22	23.5		0.702	0.04	0.2	False					none	0.0	0.008
freq:vocative	pos:NOUN	94	32	-0.263	-0.292	-0.367	20	23.5		0.238	0.04	0.2	False					none	0.0	0.008
freq:vocative	pos:PRON	94	32	0.367	0.307	0.388	20	23.5		0.224	0.04	0.2	False					none	0.0	0.008
freq:vocative	pos:VERB	94	32	0.18	0.452	-0.004	14	23.5		0.0	0.04	0.2	False					none	0.0	0.008
pos:INTJ	pos:NUM	94	32	-0.004	-0.112	-0.067	20	23.5		0.21	0.04	0.2	False	pos:NUM >= pos:INTJ	Bambara,Frisian_Dutch,Gheg,Guajajara,Hausa,Highland_Puebla_Nahuatl,Naga,Nenets	0.138	0.457	claim	0.0	0.008
adist:comp	freq:vocative	93	32	-0.23	-0.362	0.14	16	22.8		0.012	0.04	0.214	False					none	0.0	0.0079
adist:comp	pos:INTJ	93	32	-0.051	-0.169	-0.124	22	22.8		1.0	0.04	0.214	False					none	0.0	0.0079
dir:comp	pos:INTJ	93	32	0.046	0.004	0.278	21	22.8		0.656	0.04	0.214	False					none	0.0	0.0079
dist:comp:obj	pos:INTJ	93	32	0.018	-0.057	0.227	21	23.0		0.548	0.04	0.214	False					none	0.0	0.0079
freq:comp	pos:INTJ	95	32	0.004	-0.009	-0.085	22	23.2		0.834	0.04	0.224	False					none	0.0	0.0078
adist:comp	adist:det	90	34	0.324	0.33	0.202	17	22.5		0.034	0.04	0.251	False					none	0.0	0.0075
adist:comp	dir:det	90	34	-0.081	-0.24	0.036	15	22.5		0.005	0.04	0.251	False					none	0.0	0.0075
adist:comp	dist:det	90	34	-0.195	-0.377	-0.034	17	22.5		0.033	0.04	0.251	False					none	0.0	0.0075
adist:det	pos:ADV	90	34	0.182	0.122	0.149	22	22.5		1.0	0.04	0.251	False					none	0.0	0.0075
dir:comp	dir:det	90	34	0.119	-0.009	0.047	19	22.5		0.216	0.04	0.251	False	dir:comp >= dir:det	Abkhaz,Akkadian,Amharic,Bambara,Beja,Ika,Pesh,Xavante	0.1	0.722	claim	0.0	0.0075
dir:det	dist:comp	90	34	0.012	-0.164	-0.004	17	22.5		0.047	0.04	0.251	False					none	0.0	0.0075
dir:det	pos:PRON	90	34	0.303	0.176	0.363	22	22.5		1.0	0.04	0.251	False					none	0.0	0.0075
dir:udep	pos:INTJ	90	31	0.155	0.077	0.294	22	22.5		1.0	0.04	0.251	False					none	0.0	0.0075
