measure	language	value	n_scope	n_hit	ci_low	ci_high
dir:dependent	Hebrew	67.2342	6461	4344	66.08	68.368
dir:dependent	Highland_Puebla_Nahuatl	42.5567	5515	2347	41.257	43.866
dir:dependent	Hittite	20.3499	1086	221	18.062	22.847
dir:dependent	Ika	29.5455	3608	1066	28.079	31.055
dir:dependent	Irish	75.8488	3652	2770	74.434	77.209
dir:dependent	Italian	54.1261	5138	2781	52.761	55.485
dir:dependent	Javanese	67.8845	9799	6652	66.953	68.802
dir:dependent	Kaapor	30.8824	272	84	25.69	36.607
dir:dependent	Kadiweu	36.9318	176	65	30.152	44.27
dir:dependent	Kangri	4.5565	1646	75	3.65	5.674
dir:dependent	Karelian	37.9219	1896	719	35.764	40.128
dir:dependent	Karo	30.7974	1367	421	28.407	33.296
dir:dependent	Kazakh	2.2385	6433	144	1.904	2.629
dir:dependent	Kiche	56.025	6083	3408	54.774	57.268
dir:dependent	Komi_Permyak	35.188	665	234	31.653	38.893
dir:dependent	Komi_Zyrian	31.118	6440	2004	29.999	32.26
dir:dependent	Korean	1.7284	18399	318	1.55	1.927
dir:dependent	Kyrgyz	7.0312	768	54	5.429	9.061
dir:dependent	Latgalian	40.0	100	40	30.94	49.8
dir:dependent	Latvian	40.404	99	40	31.272	50.253
dir:dependent	Ligurian	54.4747	5140	2800	53.11	55.832
dir:dependent	Lithuanian	38.2743	3245	1242	36.617	39.96
dir:dependent	Livvi	38.2322	939	359	35.178	41.382
dir:dependent	Luxembourgish	33.0882	136	45	25.74	41.365
dir:dependent	Macedonian	54.0571	875	473	50.745	57.334
dir:dependent	Madi	26.1538	65	17	17.018	37.951
dir:dependent	Makurap	35.2941	102	36	26.708	44.948
dir:dependent	Malayalam	9.8773	1549	153	8.489	11.464
dir:dependent	Marathi	5.753	2364	136	4.884	6.765
dir:dependent	Mbya_Guarani	26.6069	669	178	23.399	30.082
dir:dependent	Middle_Armenian	43.2361	754	326	39.743	46.798
dir:dependent	Middle_French	54.2069	5693	3086	52.91	55.498
dir:dependent	Moksha	34.3047	2711	930	32.541	36.113
dir:dependent	Munduruku	28.5266	638	182	25.16	32.151
dir:dependent	Naga	12.4091	1926	239	11.011	13.957
dir:dependent	Neapolitan	49.2857	140	69	41.135	57.475
dir:dependent	Nenets	13.0012	823	107	10.874	15.472
dir:dependent	Nepali	14.0741	540	76	11.394	17.262
dir:dependent	Northern_Kurdish	44.2979	7129	3158	43.148	45.454
dir:dependent	Northwest_Gbaya	59.7163	2115	1263	57.61	61.787
dir:dependent	Odia	7.3438	3554	261	6.532	8.248
dir:dependent	Old_English	45.8716	109	50	36.817	55.207
dir:dependent	Old_French	51.7669	12593	6519	50.894	52.639
dir:dependent	Old_Georgian	34.2156	5214	1784	32.94	35.515
dir:dependent	Old_Irish	64.5015	662	427	60.782	68.053
dir:dependent	Old_Turkish	7.3171	82	6	3.396	15.058
dir:dependent	Ottoman_Turkish	7.6607	6579	504	7.042	8.328
dir:dependent	Pashto	25.6915	4881	1254	24.485	26.936
dir:dependent	Paumari	36.803	269	99	31.263	42.714
dir:dependent	Pesh	29.6729	2568	762	27.937	31.469
dir:dependent	Phrygian	23.9631	1085	260	21.518	26.592
dir:dependent	Polish	64.651	13279	8585	63.834	65.46
dir:dependent	Punjabi	14.6924	2845	418	13.439	16.041
dir:dependent	Romanian	62.7172	3798	2382	61.167	64.242
dir:dependent	Ruuli	71.6653	3621	2595	70.175	73.109
dir:dependent	Sanskrit	17.7482	1279	227	15.752	19.938
dir:dependent	Shanghainese	47.7218	5421	2587	46.394	49.053
dir:dependent	Sicilian	51.4768	7990	4113	50.381	52.572
dir:dependent	Sinhala	3.3827	946	32	2.406	4.736
dir:dependent	Skolt_Sami	34.7772	1616	562	32.494	37.133
dir:dependent	South_Levantine_Arabic	82.3529	527	434	78.867	85.37
dir:dependent	Southern_Kurdish	46.1171	837	386	42.765	49.504
dir:dependent	Spanish	50.7637	5238	2659	49.41	52.116
dir:dependent	Spanish_Sign_Language	37.7612	670	253	34.17	41.492
dir:dependent	Swedish	58.8828	8933	5260	57.859	59.899
dir:dependent	Swedish_Sign_Language	52.561	820	431	49.139	55.959
dir:dependent	Tagalog	79.1435	1261	998	76.814	81.296
dir:dependent	Tamil	4.159	9209	383	3.77	4.586
dir:dependent	Tatar	3.2974	1486	49	2.503	4.333
dir:dependent	Teko	33.9225	1471	499	31.548	36.381
dir:dependent	Telugu	2.2525	3374	76	1.803	2.81
dir:dependent	Telugu_English	10.5882	255	27	7.379	14.967
dir:dependent	Tswana	60.5634	142	86	52.349	68.222
dir:dependent	Tupinamba	42.3679	2365	1002	40.39	44.37
dir:dependent	Turkish	2.524	23257	587	2.33	2.734
dir:dependent	Turkish_English	22.7273	264	60	18.084	28.152
dir:dependent	Umbrian	33.1442	881	292	30.115	36.32
dir:dependent	Upper_Sorbian	48.1517	7277	3504	47.005	49.3
dir:dependent	Uzbek	2.4305	8599	209	2.126	2.778
dir:dependent	Veps	42.7759	879	376	39.544	46.071
dir:dependent	Vietnamese	58.5829	1369	802	55.953	61.165
dir:dependent	Warlpiri	43.1373	204	88	36.53	49.999
dir:dependent	Wolof	64.2492	33051	21235	63.731	64.764
dir:dependent	Xavante	36.4469	1092	398	33.644	39.344
dir:dependent	Xibe	1.9352	10903	211	1.693	2.211
dir:dependent	Yakut	7.7838	925	72	6.227	9.69
dir:dependent	Yoruba	62.7665	5863	3680	61.521	63.995
dir:dependent	Yupik	38.6957	690	267	35.134	42.383
dir:dependent	Zazaki	25.0918	817	205	22.24	28.177
dir:det	Abkhaz	30.6667	75	23	21.387	41.83
dir:det	Akkadian	94.5055	182	172	90.183	96.988
dir:det	Albanian	7.7068	532	41	5.732	10.288
dir:det	Alemannic	0.0	123	0	0.0	3.029
dir:det	Amharic	84.728	478	405	81.227	87.675
dir:det	Apurina	2.7778	36	1	0.492	14.17
dir:det	Bambara	83.8264	507	425	80.369	86.775
dir:det	Bavarian	0.1622	1849	3	0.055	0.476
dir:det	Beja	26.8937	1703	458	24.842	29.05
dir:det	Bhojpuri	1.7241	174	3	0.588	4.946
dir:det	Brahui	13.8889	36	5	6.082	28.66
dir:det	Breton	0.4988	1203	6	0.229	1.084
dir:det	Buryat	6.5502	229	15	4.009	10.525
dir:det	Cantonese	0.2976	336	1	0.053	1.666
dir:det	Cappadocian	1.0043	697	7	0.487	2.058
dir:det	Chinese	0.2611	383	1	0.046	1.464
dir:det	Chintang	3.211	436	14	1.922	5.317
dir:det	Chukchi	18.4211	38	7	9.222	33.419
dir:det	Czech	29.8578	211	63	24.088	36.348
dir:det	English	0.1246	4014	5	0.053	0.291
dir:det	Esperanto	0.0	259	0	-0.0	1.462
dir:det	Faroese	0.0	186	0	0.0	2.024
dir:det	Finnish	0.8163	245	2	0.224	2.927
dir:det	French	0.1312	762	1	0.023	0.74
dir:det	Frisian_Dutch	0.3021	331	1	0.053	1.691
dir:det	Gheg	0.3906	1280	5	0.167	0.911
dir:det	Greek	0.5405	3145	17	0.338	0.864
dir:det	Guajajara	1.9608	102	2	0.539	6.869
dir:det	Haitian_Creole	59.0	300	177	53.355	64.418
dir:det	Hausa	45.0088	1142	514	42.145	47.906
dir:det	Hebrew	6.1444	651	40	4.544	8.259
dir:det	Highland_Puebla_Nahuatl	0.0	437	0	-0.0	0.871
dir:det	Ika	15.6863	51	8	8.169	28.01
dir:det	Irish	19.0625	320	61	15.136	23.723
dir:det	Italian	0.0	1018	0	0.0	0.376
dir:det	Javanese	85.1906	682	581	82.328	87.659
dir:det	Kadiweu	0.0	34	0	0.0	10.151
dir:det	Kangri	1.8182	55	1	0.322	9.606
dir:det	Karelian	10.8108	37	4	4.285	24.709
dir:det	Kazakh	0.0	218	0	0.0	1.732
dir:det	Kiche	0.7087	1411	10	0.385	1.3
dir:det	Komi_Zyrian	4.4586	157	7	2.176	8.916
dir:det	Korean	0.0	699	0	0.0	0.547
dir:det	Ligurian	0.2356	849	2	0.065	0.855
dir:det	Lithuanian	0.0	143	0	0.0	2.616
dir:det	Luxembourgish	0.0	30	0	0.0	11.351
dir:det	Malayalam	7.3171	41	3	2.52	19.427
dir:det	Marathi	0.0	114	0	0.0	3.26
dir:det	Middle_Armenian	5.5556	36	2	1.537	18.145
dir:det	Middle_French	0.0	836	0	0.0	0.457
dir:det	Moksha	3.0303	66	2	0.835	10.393
dir:det	Naga	5.1852	135	7	2.534	10.316
dir:det	Nepali	0.0	38	0	0.0	9.181
dir:det	Northern_Kurdish	0.0	213	0	0.0	1.772
dir:det	Northwest_Gbaya	31.8182	44	14	19.999	46.557
dir:det	Odia	0.578	173	1	0.102	3.201
dir:det	Old_French	0.0	2014	0	0.0	0.19
dir:det	Old_Georgian	44.2197	346	153	39.078	49.488
dir:det	Old_Irish	0.0	40	0	0.0	8.762
dir:det	Ottoman_Turkish	0.0	523	0	0.0	0.729
dir:det	Pashto	1.4493	276	4	0.565	3.666
dir:det	Paumari	22.9167	48	11	13.308	36.539
dir:det	Pesh	35.0877	114	40	26.943	44.204
dir:det	Phrygian	5.6452	124	7	2.761	11.195
dir:det	Polish	3.9877	326	13	2.345	6.702
dir:det	Punjabi	2.2989	174	4	0.898	5.761
dir:det	Romanian	20.9402	234	49	16.217	26.602
dir:det	Ruuli	81.7204	93	76	72.662	88.262
dir:det	Sanskrit	6.4516	62	4	2.537	15.448
dir:det	Shanghainese	1.0	100	1	0.177	5.449
dir:det	Sicilian	0.3861	1295	5	0.165	0.901
dir:det	Sinhala	0.0	42	0	-0.0	8.38
dir:det	Skolt_Sami	3.5088	57	2	0.968	11.921
dir:det	Southern_Kurdish	3.0303	33	1	0.537	15.319
dir:det	Spanish	2.4291	741	18	1.542	3.807
dir:det	Swedish	1.1848	422	5	0.507	2.743
dir:det	Swedish_Sign_Language	35.2941	68	24	25.002	47.159
dir:det	Tagalog	2.7778	36	1	0.492	14.17
dir:det	Tamil	1.7857	168	3	0.609	5.118
dir:det	Teko	9.375	64	6	4.368	18.983
dir:det	Telugu	3.871	155	6	1.786	8.187
dir:det	Turkish	0.0	1663	0	0.0	0.23
dir:det	Upper_Sorbian	0.8475	236	2	0.233	3.037
dir:det	Uzbek	1.4337	279	4	0.559	3.628
dir:det	Vietnamese	38.6364	88	34	29.142	49.081
dir:det	Wolof	57.6801	3138	1810	55.943	59.398
dir:det	Xavante	96.8254	63	61	89.144	99.125
dir:det	Xibe	3.6649	191	7	1.786	7.37
dir:det	Yakut	5.1282	78	4	2.012	12.457
dir:det	Yoruba	29.927	274	82	24.813	35.596
dir:discourse	Akuntsu	69.2308	65	45	57.202	79.113
dir:discourse	Amharic	85.782	211	181	80.429	89.856
dir:discourse	Bambara	32.2622	778	251	29.071	35.627
dir:discourse	Beja	59.6234	478	285	55.165	63.928
dir:discourse	Buryat	68.059	407	277	63.378	72.402
dir:discourse	Cantonese	82.2938	1491	1227	80.274	84.148
dir:discourse	Cappadocian	11.1111	36	4	4.407	25.315
dir:discourse	Central_Kurdish	12.1951	41	5	5.323	25.544
dir:discourse	Chinese	93.662	426	399	90.936	95.608
dir:discourse	Chintang	74.8823	637	477	71.372	78.094
dir:discourse	Chukchi	24.6667	300	74	20.129	29.845
dir:discourse	Classical_Chinese	92.1053	38	35	79.201	97.279
dir:discourse	English	10.1781	393	40	7.564	13.563
dir:discourse	Frisian_Dutch	46.2312	199	92	39.441	53.164
dir:discourse	Gheg	25.6198	605	155	22.303	29.245
dir:discourse	Greek	19.2771	166	32	13.999	25.945
dir:discourse	Guajajara	93.2869	2011	1876	92.109	94.3
dir:discourse	Gujarati	68.1818	44	30	53.443	80.001
dir:discourse	Hausa	53.1114	2073	1101	50.959	55.252
dir:discourse	Highland_Puebla_Nahuatl	41.989	181	76	35.039	49.272
dir:discourse	Hittite	31.1828	93	29	22.673	41.186
dir:discourse	Ika	16.2791	301	49	12.538	20.87
dir:discourse	Javanese	3.0303	33	1	0.537	15.319
dir:discourse	Kaapor	93.75	32	30	79.853	98.269
dir:discourse	Karo	88.5246	61	54	78.156	94.329
dir:discourse	Kazakh	59.2593	54	32	45.967	71.322
dir:discourse	Kiche	38.6667	150	58	31.249	46.65
dir:discourse	Komi_Zyrian	27.907	43	12	16.747	42.691
dir:discourse	Kyrgyz	76.6667	30	23	59.072	88.208
dir:discourse	Marathi	70.1754	57	40	57.336	80.467
dir:discourse	Munduruku	58.0645	31	18	40.766	73.584
dir:discourse	Naga	39.1304	46	18	26.393	53.543
dir:discourse	Nenets	87.619	105	92	79.963	92.62
dir:discourse	Nepali	67.9012	81	55	57.124	77.058
dir:discourse	Northwest_Gbaya	59.4203	69	41	47.636	70.211
dir:discourse	Odia	74.0	50	37	60.447	84.128
dir:discourse	Ottoman_Turkish	48.8095	84	41	38.408	59.315
dir:discourse	Pesh	46.9828	232	109	40.662	53.402
dir:discourse	Punjabi	29.4118	68	20	19.919	41.106
dir:discourse	Romanian	92.5926	108	100	86.06	96.199
dir:discourse	Ruuli	12.1212	66	8	6.272	22.137
dir:discourse	Shanghainese	87.0307	879	765	84.648	89.092
dir:discourse	Skolt_Sami	14.4928	69	10	8.067	24.664
dir:discourse	Southern_Kurdish	22.8571	35	8	12.066	39.017
dir:discourse	Spanish	34.9206	189	66	28.486	41.956
dir:discourse	Swedish_Sign_Language	60.8696	46	28	46.457	73.607
dir:discourse	Teko	20.9302	43	9	11.423	35.206
dir:discourse	Tupinamba	51.7766	197	102	44.832	58.653
dir:discourse	Turkish	23.913	46	11	13.912	37.935
dir:discourse	Uzbek	19.4805	77	15	12.176	29.685
dir:discourse	Wolof	12.766	47	6	5.985	25.174
dir:discourse	Xavante	63.8298	47	30	49.536	76.034
dir:discourse	Xibe	92.7536	69	64	84.133	96.865
dir:discourse	Yakut	81.0811	37	30	65.795	90.52
dir:discourse	Zazaki	28.3784	74	21	19.374	39.517
dir:mod	Abaza	21.5385	130	28	15.343	29.368
dir:mod	Abkhaz	11.0026	2663	293	9.87	12.248
dir:mod	Akkadian	82.7368	475	393	79.079	85.869
dir:mod	Akuntsu	37.9679	187	71	31.32	45.1
dir:mod	Albanian	69.3122	756	524	65.934	72.495
dir:mod	Alemannic	34.3396	265	91	28.883	40.244
dir:mod	Amharic	25.0	964	241	22.369	27.829
dir:mod	Apurina	22.7848	158	36	16.936	29.925
dir:mod	Assamese	5.5814	215	12	3.221	9.501
dir:mod	Assyrian	41.6667	48	20	28.85	55.719
dir:mod	Azerbaijani	9.0909	121	11	5.152	15.547
dir:mod	Bambara	25.4079	858	218	22.609	28.426
dir:mod	Bavarian	39.2123	2336	916	37.252	41.208
dir:mod	Beja	13.5572	1608	218	11.971	15.318
dir:mod	Bengali	14.2857	56	8	7.421	25.736
dir:mod	Bhojpuri	3.726	832	31	2.637	5.24
dir:mod	Bokota	78.0822	365	285	73.558	82.022
dir:mod	Brahui	11.4428	201	23	7.747	16.585
dir:mod	Breton	78.141	1560	1219	76.022	80.121
dir:mod	Buryat	5.0029	3418	171	4.321	5.786
dir:mod	Cantonese	10.7816	2495	269	9.624	12.059
dir:mod	Cappadocian	44.7917	672	301	41.072	48.57
dir:mod	Cebuano	58.8785	214	126	52.186	65.258
dir:mod	Central_Kurdish	61.157	121	74	52.257	69.37
dir:mod	Chinese	5.3034	5751	305	4.753	5.913
dir:mod	Chintang	34.9273	3576	1249	33.382	36.505
dir:mod	Chukchi	50.4593	1633	824	48.036	52.88
dir:mod	Classical_Chinese	4.5455	176	8	2.321	8.712
dir:mod	Czech	41.8306	1322	553	39.199	44.51
dir:mod	English	35.4213	8461	2997	34.409	36.447
dir:mod	Esperanto	25.3147	715	181	22.265	28.628
dir:mod	Faroese	30.9325	1319	408	28.496	33.479
dir:mod	Finnish	30.5994	4304	1317	29.241	31.993
dir:mod	French	64.6006	726	469	61.053	67.994
dir:mod	Frisian_Dutch	34.8074	701	244	31.373	38.408
dir:mod	Gheg	42.9605	2074	891	40.845	45.102
dir:mod	Greek	49.673	3364	1671	47.985	51.362
dir:mod	Guajajara	61.6289	1191	734	58.834	64.349
dir:mod	Guarani	42.5532	47	20	29.514	56.718
dir:mod	Gujarati	7.0922	282	20	4.638	10.7
dir:mod	Gwichin	38.961	77	30	28.842	50.129
dir:mod	Haitian_Creole	72.6334	581	422	68.868	76.101
dir:mod	Hausa	60.349	7909	4773	59.266	61.422
dir:mod	Hebrew	65.3722	1236	808	62.676	67.973
dir:mod	Highland_Puebla_Nahuatl	39.9094	1987	793	37.778	42.08
dir:mod	Hittite	26.0	400	104	21.944	30.512
dir:mod	Ika	74.0909	1320	978	71.66	76.382
dir:mod	Irish	68.29	924	631	65.219	71.21
dir:mod	Italian	53.9823	791	427	50.498	57.428
dir:mod	Javanese	71.0374	3981	2828	69.609	72.426
dir:mod	Kaapor	42.4658	73	31	31.784	53.901
dir:mod	Kadiweu	71.0526	38	27	55.243	82.997
dir:mod	Kangri	6.8768	349	24	4.664	10.028
dir:mod	Karelian	19.7269	659	130	16.868	22.937
dir:mod	Karo	51.9802	404	210	47.113	56.81
dir:mod	Kazakh	2.925	2735	80	2.357	3.626
dir:mod	Kiche	60.6638	1416	859	58.094	63.176
dir:mod	Komi_Permyak	22.1106	199	44	16.903	28.374
dir:mod	Komi_Zyrian	19.8633	2487	494	18.342	21.477
dir:mod	Korean	2.5499	7059	180	2.207	2.944
dir:mod	Kyrgyz	13.9303	201	28	9.817	19.397
dir:mod	Ligurian	56.5491	794	449	53.078	59.957
dir:mod	Lithuanian	17.0954	1205	206	15.075	19.325
dir:mod	Livvi	21.7523	331	72	17.646	26.507
dir:mod	Macedonian	29.8701	154	46	23.203	37.517
dir:mod	Makurap	26.3158	38	10	14.972	42.009
dir:mod	Malayalam	6.7164	670	45	5.057	8.869
dir:mod	Marathi	2.5316	395	10	1.381	4.597
dir:mod	Mbya_Guarani	42.2078	154	65	34.69	50.105
dir:mod	Middle_Armenian	26.7974	153	41	20.411	34.32
dir:mod	Middle_French	46.4789	923	429	43.282	49.704
dir:mod	Moksha	14.8462	943	140	12.72	17.258
dir:mod	Munduruku	37.7953	127	48	29.838	46.47
dir:mod	Naga	34.633	436	151	30.319	39.216
dir:mod	Nenets	1.2552	478	6	0.577	2.711
dir:mod	Nepali	4.2328	189	8	2.16	8.129
dir:mod	Northern_Kurdish	65.7563	1904	1252	63.595	67.854
dir:mod	Northwest_Gbaya	78.9474	418	330	74.784	82.583
dir:mod	Odia	4.8713	1437	70	3.874	6.11
dir:mod	Old_French	43.7241	1928	843	41.525	45.949
dir:mod	Old_Georgian	34.4705	1964	677	32.401	36.601
dir:mod	Old_Irish	52.381	252	132	46.225	58.465
dir:mod	Ottoman_Turkish	13.8251	2698	373	12.574	15.179
dir:mod	Pashto	15.4856	1143	177	13.504	17.698
dir:mod	Paumari	59.322	59	35	46.593	70.911
dir:mod	Pesh	58.1006	716	416	54.453	61.662
dir:mod	Phrygian	31.3043	115	36	23.549	40.268
dir:mod	Polish	51.6256	4583	2366	50.178	53.07
dir:mod	Punjabi	16.6008	759	126	14.123	19.415
dir:mod	Romanian	49.2771	830	409	45.887	52.674
dir:mod	Ruuli	77.8947	1045	814	75.279	80.306
dir:mod	Sanskrit	14.8387	620	92	12.257	17.853
dir:mod	Shanghainese	9.5201	1271	121	8.026	11.258
dir:mod	Sicilian	50.5695	1317	666	47.872	53.264
dir:mod	Sinhala	5.7878	311	18	3.692	8.962
dir:mod	Skolt_Sami	30.6905	391	120	26.325	35.431
dir:mod	South_Levantine_Arabic	85.5263	152	130	79.058	90.243
dir:mod	Southern_Kurdish	59.1489	235	139	52.766	65.238
dir:mod	Spanish	53.6258	1117	599	50.694	56.533
dir:mod	Spanish_Sign_Language	50.4808	208	105	43.739	57.205
dir:mod	Swedish	38.2216	2148	821	36.189	40.296
dir:mod	Swedish_Sign_Language	46.4865	185	86	39.444	53.672
dir:mod	Tagalog	51.5306	196	101	44.572	58.43
dir:mod	Tamil	6.7712	4209	285	6.051	7.57
dir:mod	Tatar	4.1444	748	31	2.935	5.823
dir:mod	Teko	30.9824	397	123	26.634	35.695
dir:mod	Telugu	2.9021	827	24	1.958	4.282
dir:mod	Telugu_English	13.3333	60	8	6.914	24.165
dir:mod	Tupinamba	47.0395	912	429	43.819	50.284
dir:mod	Turkish	4.3174	8431	364	3.904	4.772
dir:mod	Turkish_English	9.0909	88	8	4.679	16.925
dir:mod	Umbrian	48.7879	330	161	43.44	54.164
dir:mod	Upper_Sorbian	31.7753	2653	843	30.031	33.572
dir:mod	Uzbek	2.3634	3385	80	1.903	2.932
dir:mod	Veps	18.7898	314	59	14.856	23.478
dir:mod	Vietnamese	43.5714	420	183	38.909	48.351
dir:mod	Wolof	80.0812	6652	5327	79.104	81.023
dir:mod	Xavante	34.5178	197	68	28.232	41.396
dir:mod	Xibe	1.8492	4921	91	1.509	2.265
dir:mod	Yakut	8.8028	284	25	6.034	12.672
dir:mod	Yoruba	73.2752	1261	924	70.765	75.644
dir:mod	Yupik	47.8723	282	135	42.11	53.692
dir:mod	Zazaki	46.7836	171	80	39.458	54.251
dir:subj	Abaza	11.6279	86	10	6.44	20.097
dir:subj	Abkhaz	20.788	1472	306	18.792	22.936
dir:subj	Akkadian	12.5	48	6	5.857	24.7
dir:subj	Akuntsu	18.2292	192	35	13.409	24.295
dir:subj	Albanian	24.2105	285	69	19.602	29.505
dir:subj	Alemannic	27.6786	112	31	20.238	36.6
dir:subj	Amharic	39.4631	1490	588	37.011	41.969
dir:subj	Apurina	32.1429	168	54	25.548	39.536
dir:subj	Assamese	3.75	80	3	1.283	10.455
dir:subj	Assyrian	4.7619	42	2	1.316	15.79
dir:subj	Azerbaijani	0.0	135	0	0.0	2.767
dir:subj	Bambara	0.2697	1854	5	0.115	0.63
dir:subj	Bavarian	33.1667	1200	398	30.56	35.88
dir:subj	Beja	0.2101	476	1	0.037	1.18
dir:subj	Bengali	5.7143	35	2	1.581	18.607
dir:subj	Bhojpuri	3.1802	283	9	1.682	5.932
dir:subj	Bokota	1.7341	346	6	0.797	3.731
dir:subj	Brahui	0.0	69	0	0.0	5.274
dir:subj	Breton	57.3913	575	330	53.313	61.371
dir:subj	Buryat	1.2064	746	9	0.636	2.277
dir:subj	Cantonese	1.9916	954	19	1.279	3.09
dir:subj	Cappadocian	45.1613	279	126	39.427	51.027
dir:subj	Cebuano	78.6585	164	129	71.77	84.236
dir:subj	Central_Kurdish	3.2258	62	2	0.889	11.02
dir:subj	Chinese	0.4676	1711	8	0.237	0.92
dir:subj	Chintang	6.7109	1207	81	5.432	8.264
dir:subj	Chukchi	23.9609	409	98	20.079	28.328
dir:subj	Classical_Chinese	0.0	81	0	0.0	4.528
dir:subj	Czech	31.941	407	130	27.598	36.622
dir:subj	English	7.7171	4341	335	6.96	8.549
dir:subj	Esperanto	6.8548	248	17	4.324	10.702
dir:subj	Faroese	23.1073	1268	293	20.87	25.506
dir:subj	Finnish	14.3528	1491	214	12.665	16.224
dir:subj	French	5.2764	398	21	3.477	7.931
dir:subj	Frisian_Dutch	33.046	348	115	28.313	38.15
dir:subj	Gheg	28.1977	1032	291	25.537	31.02
dir:subj	Gorontalo	2.5	40	1	0.443	12.881
dir:subj	Greek	48.3923	1244	602	45.624	51.17
dir:subj	Gujarati	1.7241	174	3	0.588	4.946
dir:subj	Gwichin	0.0	32	0	0.0	10.718
dir:subj	Haitian_Creole	0.0	386	0	0.0	0.985
dir:subj	Hausa	20.1389	1728	348	18.315	22.095
dir:subj	Hebrew	45.4545	605	275	41.528	49.438
dir:subj	Highland_Puebla_Nahuatl	25.8656	982	254	23.225	28.695
dir:subj	Hittite	2.0202	99	2	0.556	7.069
dir:subj	Ika	2.4561	285	7	1.195	4.982
dir:subj	Irish	89.939	328	295	86.207	92.746
dir:subj	Italian	12.8395	405	52	9.927	16.45
dir:subj	Javanese	8.8563	1434	127	7.494	10.439
dir:subj	Kaapor	5.5556	72	4	2.181	13.432
dir:subj	Kadiweu	7.4627	67	5	3.23	16.309
dir:subj	Kangri	1.3575	221	3	0.463	3.914
dir:subj	Karelian	17.1548	239	41	12.905	22.444
dir:subj	Karo	6.1224	294	18	3.907	9.469
dir:subj	Kazakh	0.8897	1124	10	0.484	1.63
dir:subj	Kiche	68.7764	948	652	65.756	71.645
dir:subj	Komi_Permyak	25.3521	142	36	18.911	33.091
dir:subj	Komi_Zyrian	26.1905	882	231	23.397	29.191
dir:subj	Korean	0.1185	2532	3	0.04	0.348
dir:subj	Kyrgyz	0.0	185	0	0.0	2.034
dir:subj	Ligurian	11.7925	424	50	9.06	15.211
dir:subj	Lithuanian	28.382	377	107	24.067	33.133
dir:subj	Livvi	26.0274	146	38	19.59	33.694
dir:subj	Macedonian	16.8675	83	14	10.322	26.344
dir:subj	Malayalam	3.0837	227	7	1.502	6.227
dir:subj	Marathi	2.449	490	12	1.406	4.231
dir:subj	Mbya_Guarani	17.7778	90	16	11.25	26.944
dir:subj	Middle_Armenian	22.9885	87	20	15.403	32.858
dir:subj	Middle_French	13.1021	519	68	10.468	16.278
dir:subj	Moksha	30.8046	435	134	26.65	35.295
dir:subj	Munduruku	34.7826	92	32	25.838	44.947
dir:subj	Naga	0.6849	438	3	0.233	1.994
dir:subj	Nenets	3.5714	56	2	0.985	12.119
dir:subj	Nepali	0.0	42	0	-0.0	8.38
dir:subj	Northern_Kurdish	1.0936	823	9	0.576	2.065
dir:subj	Northwest_Gbaya	0.0	404	0	0.0	0.942
dir:subj	Odia	2.4857	523	13	1.458	4.206
dir:subj	Old_French	7.1193	1517	108	5.931	8.525
dir:subj	Old_Georgian	31.7549	359	114	27.154	36.742
dir:subj	Old_Irish	43.0556	72	31	32.258	54.557
dir:subj	Ottoman_Turkish	0.5634	710	4	0.219	1.44
dir:subj	Pashto	6.0606	462	28	4.226	8.62
dir:subj	Paumari	37.1429	35	13	23.166	53.663
dir:subj	Pesh	19.5402	174	34	14.334	26.063
dir:subj	Phrygian	4.9327	223	11	2.776	8.615
dir:subj	Polish	18.9509	1182	224	16.819	21.284
dir:subj	Punjabi	0.9259	324	3	0.315	2.687
dir:subj	Romanian	31.3218	348	109	26.675	36.376
dir:subj	Ruuli	9.434	424	40	7.005	12.592
dir:subj	Sanskrit	24.6753	231	57	19.56	30.619
dir:subj	Shanghainese	1.2557	876	11	0.703	2.234
dir:subj	Sicilian	20.6009	699	144	17.767	23.756
dir:subj	Sinhala	2.4752	202	5	1.062	5.663
dir:subj	Skolt_Sami	11.7089	316	37	8.615	15.722
dir:subj	South_Levantine_Arabic	45.0	40	18	30.705	60.171
dir:subj	Southern_Kurdish	2.9412	136	4	1.15	7.318
dir:subj	Spanish	30.9333	375	116	26.468	35.785
dir:subj	Spanish_Sign_Language	10.2222	225	23	6.909	14.871
dir:subj	Swedish	25.1572	1431	360	22.978	27.47
dir:subj	Swedish_Sign_Language	18.8406	207	39	14.1	24.717
dir:subj	Tagalog	93.3333	210	196	89.122	95.988
dir:subj	Tamil	1.6365	1161	19	1.05	2.542
dir:subj	Tatar	5.5556	162	9	2.95	10.22
dir:subj	Teko	13.9013	223	31	9.969	19.056
dir:subj	Telugu	0.2571	1167	3	0.087	0.753
dir:subj	Telugu_English	4.7619	84	4	1.867	11.613
dir:subj	Tupinamba	39.7196	214	85	33.401	46.401
dir:subj	Turkish	1.1949	3264	39	0.875	1.629
dir:subj	Turkish_English	8.8235	34	3	3.047	22.96
dir:subj	Umbrian	7.5	40	3	2.584	19.864
dir:subj	Upper_Sorbian	28.0868	737	207	24.962	31.439
dir:subj	Uzbek	3.0619	1437	44	2.289	4.085
dir:subj	Veps	28.4672	137	39	21.579	36.53
dir:subj	Vietnamese	6.044	182	11	3.408	10.497
dir:subj	Warlpiri	14.2857	56	8	7.421	25.736
dir:subj	Wolof	8.6828	4722	410	7.913	9.52
